,Cycle,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,1,0.148373802438379,0.131024513582147,0.121515519490554,0.105738034352809,0.11806386094355,0.13367976449015,0.138946612741835,0.122597837041703,0.124113650604293,0.128150173141513,0.128513974399264,0.117057872789833,0.209196259601719,0.156832377687579,0.14237501694454,0.146347448591709,0.165271951474546,0.150462913128922,0.244442717277667,0.180840639418706,0.184342597661537,0.188919597618083,0.192289997542413,0.200926434409211,0.215135502137957,0.207584297235722,0.199264223263013,0.186233861495828,0.209000177225329,0.174313688562933,0.175770567065265,0.156836296951106,0.147465718716449,0.134782519989366,0.151064357301444,0.131337766348306,0.14967942322178,0.122532165453776,0.141245593165949,0.120424667561585,0.118017616253264,0.11874788522164,0.14912419278518,0.117054772620845,0.127799036897929,0.107018810019367,0.112571932283242,0.12673225984809
,2,0.146292917752102,0.130417487014042,0.119410258526589,0.105596727978659,0.117283125084108,0.132510768388502,0.138880711158149,0.121265548454373,0.124837086769459,0.126825162304236,0.126892373139558,0.116933144633004,0.207400132247095,0.154787958554883,0.141672279534762,0.143891001268394,0.165556583333217,0.149389131314263,0.24135431499435,0.179605441630967,0.183507444018733,0.187501032157239,0.190902834422707,0.199592965505636,0.21439937477548,0.208292270225466,0.197625869071573,0.185739737260452,0.207517517670024,0.173468600063237,0.175303432939472,0.156889261353297,0.147279281593136,0.134476678951632,0.150227760715151,0.130785575601663,0.148648380264863,0.122089228889637,0.139612559738759,0.118547975077681,0.117673692018782,0.118208532452185,0.14811314835703,0.116763578134306,0.126082967303689,0.106434008299029,0.112449147589958,0.125355903443638
,3,0.146557189621164,0.128206016065316,0.117528309720462,0.104799954340363,0.116276060880244,0.131634208463189,0.137550325746339,0.12079699233606,0.122494411833416,0.12598032746369,0.126680468055328,0.114508738897353,0.205940645597711,0.153385219578119,0.140407889473907,0.144189386976762,0.164164498288703,0.146985941561964,0.241085550001128,0.177319420241812,0.182005459783378,0.186932751561601,0.190161993008559,0.198083561290171,0.213124660824799,0.20441561929432,0.197111973669816,0.184496407163943,0.204177584812466,0.172250223009246,0.173832649566079,0.155099825896485,0.145198078462355,0.133081967735105,0.146553485852057,0.129278648653642,0.14843326875487,0.120986680465095,0.138845885164629,0.119060738836587,0.117053424809579,0.116297665666008,0.146729336862922,0.11473977455659,0.125276090740705,0.10460680645346,0.110664132058411,0.124721299258695
,4,0.146588239617268,0.127937965454067,0.11830829017262,0.104467997376618,0.115851240332967,0.131945108891314,0.137273620507718,0.120673257291137,0.122712008883112,0.125573743660407,0.126295524060442,0.114850917639887,0.206767126295905,0.153859827466469,0.140368208972281,0.143411507724757,0.163632357106705,0.147179761728357,0.240495414675991,0.178305771730137,0.180767283818212,0.18531583411719,0.190189805718462,0.198225219057439,0.211849661784093,0.204715506532982,0.19635639121841,0.183355068141069,0.204954556982,0.17113480808476,0.17443606090639,0.155593952540119,0.14440679142189,0.132984718568162,0.148544166806298,0.129377317674251,0.148154402206633,0.121139484801159,0.138727820471152,0.118360504425036,0.115961311435308,0.11615982977082,0.146464300584916,0.115243536781756,0.124275314677361,0.105016914653622,0.110594548925283,0.124782538862894
,5,0.145777277728439,0.12780933214077,0.117653636665633,0.103676182102648,0.116091328743709,0.131294416385002,0.136070562128602,0.121126836373137,0.122160107270669,0.126200533914659,0.125981803230991,0.113950558875227,0.205362270363544,0.153822567674618,0.139685828637891,0.142632824462844,0.163179483703123,0.147180292032186,0.237787199920749,0.177376441738772,0.18097139279847,0.185304242160372,0.189287014595502,0.196978120282047,0.211725967805683,0.203866553991787,0.195313277559637,0.183779253993219,0.204715403837132,0.171578945399249,0.173421921971755,0.154302278382203,0.14417473601069,0.131722775661187,0.148080822549075,0.129215992603833,0.147832609483808,0.120711836651034,0.138374929595931,0.117470668863356,0.116790866994664,0.116001403866477,0.145702565060969,0.115572653048978,0.124628795353715,0.104226948444247,0.109751256743468,0.123924022071959
,6,0.145818780832028,0.127153778625992,0.117477201896632,0.10413676282765,0.11567686089038,0.131620742720782,0.136421555890818,0.120070129148914,0.12287252835748,0.125418660499144,0.125667738052048,0.113776809169779,0.204887265450072,0.153196365888771,0.13961292047769,0.142193121706066,0.162066842121798,0.147255938176524,0.237036213098011,0.176394441081015,0.18139127143087,0.186321895501849,0.188111550242967,0.197381272462258,0.211273161028243,0.203717370695598,0.194469102566914,0.183385233778201,0.203032266229512,0.172238252223891,0.173496633384411,0.153478604442969,0.145459822087574,0.132827486275652,0.147938739971315,0.128522857261295,0.14744448075461,0.12092561447517,0.139024528664875,0.117470977516308,0.11660708514524,0.116387257144529,0.14624107524359,0.115475807705003,0.12430520586684,0.1045284357755,0.110620897001701,0.123986225663061
,7,0.145850206036452,0.126895003784643,0.117477250493227,0.104268829471923,0.115326274157108,0.129823830360131,0.136671104100974,0.119726994102131,0.122778262794155,0.126390180422344,0.125353366244185,0.114774312609675,0.204463701511738,0.153675815471991,0.138353919099207,0.142564741528932,0.163385859201577,0.146358002920108,0.238428398555761,0.175678890748077,0.181856469116645,0.184874829611954,0.188111616071577,0.197119955046376,0.210039482599956,0.202442613151528,0.19475747904251,0.183695648907562,0.204370677094284,0.171794758480374,0.17284949371663,0.15458624914019,0.144503330936534,0.132322420595909,0.147759713544875,0.127667184463284,0.14660887495019,0.120619597368168,0.137639365216728,0.117337129897491,0.116501802213546,0.115705181319483,0.145623007507184,0.114754222456568,0.124467142600242,0.104121998805306,0.109717094105185,0.123591497308266
,8,0.145571401486292,0.127894304399277,0.117629723694199,0.104136104694232,0.116053565413712,0.130928042199263,0.136845302640999,0.12039860326374,0.122406326674523,0.125200805462082,0.124933312496996,0.114219805566116,0.204968634773363,0.153157199493614,0.138566977270615,0.142934849716996,0.161356288175514,0.147049291903124,0.238361529058721,0.174986434447151,0.181639163955287,0.185427546351829,0.188438874838635,0.197059776247109,0.209834142698207,0.204716325873142,0.195300368452259,0.183652478280147,0.203755780804377,0.171213864306396,0.173657565038425,0.153714372154961,0.145424643612736,0.132667395008007,0.147970155183512,0.12798991292355,0.146746703087061,0.120282906953138,0.138612222419811,0.11809258877758,0.117000810646306,0.116612494569613,0.145910263140335,0.114840729890472,0.124624427571577,0.104448581349712,0.1088118283666,0.123028208198182
,9,0.144297271938156,0.126566068920172,0.117419378486503,0.103208666684981,0.114246438721682,0.130563364451834,0.135992653265122,0.119259570876219,0.121454406495694,0.124889356314016,0.124688611896276,0.113144844385822,0.204762325292137,0.151239613819915,0.138313539842054,0.142291223438372,0.161513073144447,0.146962715583497,0.236243882448953,0.17395191168481,0.178312012632788,0.183935392737056,0.187235164363031,0.196193645347726,0.209237522035648,0.201667346344015,0.194078554286759,0.182130321443785,0.203703463698901,0.170270240449729,0.172923302473634,0.153833470871488,0.144434896335971,0.130835366318222,0.147005956135945,0.128062429255453,0.146255989036097,0.119824242685606,0.138701543177441,0.117284812936913,0.115659213708276,0.11481730017257,0.145421417984147,0.11475330208255,0.123175372289209,0.103549241261966,0.109870474187152,0.122432513885809
,10,0.144720256911931,0.125980199231203,0.116793350745277,0.103408886122652,0.114348370981993,0.129340253920541,0.134516590746983,0.119411278121512,0.121026228490541,0.125546760222748,0.124689364735477,0.113698772581887,0.204814912977105,0.152123535894766,0.138351171252896,0.141920595790017,0.161060395253646,0.145210754840938,0.236176124860826,0.174643865742912,0.179118774493266,0.184275294411964,0.188167784538166,0.196133995337321,0.209113785041282,0.201143179665485,0.193990152146723,0.182751799338821,0.201488516024702,0.170156921902531,0.172674720484417,0.153860618026564,0.143611294033224,0.132319406214617,0.14622507509283,0.127739158673032,0.146146914132793,0.119916166125475,0.137759574360168,0.116287040313983,0.115686514443827,0.115634895592687,0.144017585140424,0.114865064037849,0.124301392011559,0.103003992189647,0.109613118382413,0.123416522673825
,11,0.143095721213626,0.125462100389864,0.11778403383291,0.103110759733752,0.114762953144274,0.129665571878077,0.135467097912381,0.118504948832017,0.121919762444627,0.124577943251731,0.124374720378028,0.113247638127367,0.20303701211207,0.151311413567539,0.137125557652084,0.140431738872509,0.161414518937864,0.145372715345622,0.237087498424316,0.1742999155715,0.179026948892548,0.183505907274475,0.187647050251293,0.195469303797303,0.209525138856177,0.200967923767195,0.193534828713099,0.180763416777546,0.202610501467921,0.169576838459232,0.172674465323121,0.152495369651418,0.143840855390242,0.131655235072408,0.146330597472138,0.126955030170288,0.145347610104773,0.11967162508602,0.136405314803119,0.11690934725027,0.115067884485001,0.114157119485271,0.145317644552482,0.113902577471386,0.124234901883061,0.103579815954814,0.108932400565879,0.12298619960396
